Filename,DPI,Width (px),Height (px),Width (cm),Height (cm)
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,3825,7018.02,9715.5
Page_001.tif,1,2763,3825,7018.02,9715.5
Page_001.tif,1,2763,3825,7018.02,9715.5
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,4251,7018.02,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2550,4251,6477.0,10797.54
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4039,7018.02,10259.06
Page_001.tif,1,2763,4464,7018.02,11338.56
Page_001.tif,1,2550,4251,6477.0,10797.54
