Folder Name,Mode Size (px),Mode Size (cm),Matching Pages,Total Pages
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",2894x4725,12.25x20.0,233,235
"Johnson, Samuel, Rasselas, 1960 facsimile (125)",3006x4724,12.73x20.0,43,125
"Wells, HG The Time Machine, 1946 Penguin facsimile (100)",2689x4725,11.38x20.0,46,100
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",3019x4723,12.78x19.99,163,163
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",3055x4963,12.93x21.01,76,172
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",2922x4723,12.37x19.99,130,296
"Charles Dickens, Five Stories, Captain Boldheart, Mrs Orange and Mrs Lemon, Little Bebelle, The Story of the Goblins who Stole a Sexton, A Message from the Sea, facsimile (125)",3070x4152,13.0x17.58,58,126
"Charles Dickens, Three Stories, Gone Astray, William Tinkling, The Magic Fishbone, facsimile (48)",3069x4149,12.99x17.56,16,49
"Charles Dickens, Two Stories, Mugby Junction, A Child's Dream of a Star, facsimile (39)",3070x4152,13.0x17.58,18,42
"Forster, EM, 2 stories, The Story of a Panic, The Other Side of the Hedge, 1912 facsimile (57)",3068x4536,12.99x19.2,60,60
"Forster, EM, 3 stories, Other Kingdom, The Curate's Friend, The Road from Colonus, 1912 facsimile (82)",3068x4536,12.99x19.2,84,84
"Forster, EM, 3 stories, The Story of a Panic, The Other Side of the Hedge, The Celestial Omnibus, 1912 facsimile (87)",3068x4536,12.99x19.2,87,87
"Forster, EM, The Celestial Omnibus, Complete, 6 stories, 1912 facsimile (169)",3068x4536,12.99x19.2,169,169
"Hardy, Thomas, 2 Wessex Tales, An Imaginative Woman, and The Three Strangers, 1896 facsimile (60)",2942x4725,12.45x20.0,57,60
"Hardy, Thomas, 2 Wessex Tales, The Withered Arm and The Distracted Preacher, 1896 facsimile  (116)",2942x4725,12.45x20.0,115,116
"Hardy, Thomas, The Distracted Preacher, 1896 facsimile  (75)",2942x4725,12.45x20.0,74,75
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)",2942x4725,12.45x20.0,41,42
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)",2942x4725,12.45x20.0,288,297
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)",2939x4725,12.44x20.0,5,120
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)",2993x4725,12.67x20.0,7,89
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)",2906x4724,12.3x20.0,4,82
"Joyce, James, Dubliners, complete, 1914 facsimile (278)",2993x4725,12.67x20.0,11,278
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)",2982x4723,12.62x19.99,221,287
"Mansfield, Katherine, Prelude, 1921 facsimile (77)",3015x4723,12.76x19.99,41,77
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)",2982x4723,12.62x19.99,87,88
"Mansfield, Katherine, Six stories from Bliss (including title story), 1921 facsimile (124)",2982x4723,12.62x19.99,98,124
"Poe, EA, 28 stories including The Murders in the Rue Morgue, The Fall of the House of Usher, The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile (288)",2887x4724,12.22x20.0,288,288
"Poe, EA, Poems, featuring The Raven, The Bells, Lenore, Annabel Lee and 45 others, 1946 facsimile  (77)",2887x4724,12.22x20.0,77,77
"Poe, EA, The Man Who Was Used Up and 13 Other Stories, including The Murders in the Rue Morgue and the Fall of the House of Usher, 1946 facsimile  (127)",2887x4724,12.22x20.0,127,127
"Poe, EA, The Oval Portrait and 13 More Stories, including The Black Cat, the Tell-Tale Heart and the Pit and the Pendulum, 1946 facsimile  (161)",2887x4724,12.22x20.0,161,161
"Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",2965x4604,12.55x19.49,81,81
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The Forbidden Buzzards, Cousin Teresa, The She-Wolf  and more than 20 others, 1939 facsimile(182)",2965x4604,12.55x19.49,180,182
"Saki Stories, Beasts and Super-Beasts, including The Seventh Pullet, The She-Wolf, Laura, The Brogue and more than 12 others, 1939 facsimile (85)",2965x4604,12.55x19.49,83,85
"Saki Stories, Beasts and Super-Beasts, including The She-Wolf, the Boar-Pig, Laura, The Brogue and 2 others, 1939 facsimile (35)",2965x4604,12.55x19.49,33,35
"Saki stories, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",2965x4604,12.55x19.49,103,105
"Saki stories, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",2965x4604,12.55x19.49,150,153
"Saki stories, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)",2965x4604,12.55x19.49,47,50
"Saki stories, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)",2965x4604,12.55x19.49,118,120
"Saki stories, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)",2965x4604,12.55x19.49,165,167
"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",2878x4723,12.18x19.99,32,63
"Voltaire, Candide, facsimile c. 1950 (244)",2878x4723,12.18x19.99,213,244
"Voltaire, Candide, Part One, facsimile c. 1950 (159)",2878x4723,12.18x19.99,128,159
"Wells HG 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",2904x4725,12.29x20.0,31,31
"Wells HG 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",2904x4725,12.29x20.0,55,55
"Wells HG 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",2904x4725,12.29x20.0,42,42
"Wells HG 4 Stories from the collection The Stolen Bacillus, the title story, In the Avu Observatory, Triumphs of a Taxidermist and Through a Window,1895 facsimile (95)",2904x4725,12.29x20.0,95,95
"Wells, HG 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",2904x4725,12.29x20.0,186,186
"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",2904x4725,12.29x20.0,65,65
"Oscar Wilde, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",2900x4725,12.28x20.0,115,118
"Oscar Wilde, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",2900x4725,12.28x20.0,78,81
"Oscar Wilde, The Happy Prince, 1908 facsimile (23)",2900x4725,12.28x20.0,20,23
"Oscar Wilde, The Nightingale and the Rose, 1908 facsimile (15)",2900x4725,12.28x20.0,15,15
"Oscar Wilde, The Selfish Giant, 1908 facsimile (11)",2900x4725,12.28x20.0,11,11
"Oscar Wilde, The Star Child, 1908 facsimile (37)",2900x4725,12.28x20.0,37,37
"Oscar Wilde, The Young King, 1908 facsimile (32)",2900x4725,12.28x20.0,32,32
"Oscar Wilde, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)",2900x4725,12.28x20.0,46,49
"Oscar Wilde, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)",2900x4725,12.28x20.0,31,34
"12 PG Wodehouse stories, featuring 7 Blandings stories and 5 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (307)",3069x4453,12.99x18.85,307,307
"2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)",3069x4453,12.99x18.85,27,58
"3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)",3070x4456,13.0x18.86,40,85
"4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)",3070x4456,13.0x18.86,48,110
"5 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)",3070x4456,13.0x18.86,60,136
"7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)",3070x4456,13.0x18.86,87,191
"PG Wodehouse, 3 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, 1935 facsimile (67)",3069x4453,12.99x18.85,33,67
"PG Wodehouse, 5 selected Mr Mulliner Stories, Monkey Business, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (113)",3069x4453,12.99x18.85,49,113
